0; 3906; 1850; -754
1; 4016; 1774; -718
2; 3612; 1712; -850
3; 3944; 1620;-1052
4; 4146; 1652;-1258
5; 4112; 1652;-1138
6; 4426; 1482;-1056
7; 4880; 1536; -582
8; 3766; 1416;-1554
11; 5338; 1168;-1288
12; 4824; 1096;-1346
14; 5096; 1074;-1222
15; 5134;  880;-1440
17; 4832;  914; -990
19; 5070;  826;-1370
22; 5438;  608;-1552
23; 5180;  636;-1690
25; 5368;  640;-2168
26; 5420;  860;-2200
28; 5056;  976;-2140
30; 4690; 1260;-1944
31; 4546; 1534;-1682
33; 4190; 1802;-1352
36; 2670; 2366;    4
37; 2646; 2592;  724
39; 2050; 3114; 1192
41; 1830; 3288; 1956
42; 1738; 3158; 2204
44; 1510; 3142; 2994
45; 1804; 3032; 2706
47; -238; 3152; 1920
48; -758; 3126; 2140
50; -312; 2820; 3040
53; 1232; 2606; 3700
58; 2380; 2460; 3066
59; 2660; 2736; 2854
61; 3380; 2320; 2702
63; 3196; 2408; 2490
64; 2664; 2396; 2228
66; 2402; 2544; 2040
67; 1964; 2450; 2054
69; 2314; 2552; 2076
70; 3144; 2510; 1906
72; 3250; 2280; 1564
74; 3344; 1956; 1824
75; 3086; 2140; 1770
77; 2826; 1898; 1322
80; 3530; 1806; 1684
81; 4182; 1732; 1850
83; 3706; 1634; 1808
85; 3530; 1612; 1838
86; 3870; 1756; 1582
88; 3378; 1518; 1230
89; 4306; 1406; 1358
91; 4080; 1412; 1276
92; 4682; 1354; 1330
94; 4578; 1650; 1092
96; 4698; 1490; 1150
99; 3830; 1500; 1094
102; 4166; 1350; 1246
103; 3896; 1260; 1160
106; 3462; 1260;  684
110; 4294; 1172;  104
111; 4148; 1104;  152
113; 4288; 1006;  -92
114; 4534; 1002; -330
116; 4890;  734; -226
117; 5960;  814; -138
118; 5418;  736; -560
124; 4232;  296; -134
125; 4178;  264; -132
127; 4692;  232;  -76
128; 5556;   88;   24
130; 5400;   -8; -582
132; 6188;  100;-1408
133; 6062;  284;-1750
135; 6132;  322;-1894
138; 5366;  798; -886
143; 3928; 1808; -268
144; 3884; 2002;  836
146; 3214; 2662;  734
147; 2382; 3022;  468
149; 1792; 3428;  -60
150; 1652; 3272; -292
152; 1484; 3056; 1068
154; 1564; 3082; 1550
155; 1090; 2886; 1440
157;  786; 2630; 2192
158;  994; 2802; 2848
160; 1878; 2886; 3322
161; 1850; 2670; 3270
163; 1784; 2428; 3152
165; 1614; 2094; 3240
168; 2320; 1700; 3220
169; 2208; 1522; 3218
171; 2278; 1282; 2566
172; 2234; 1282; 2454
174; 3878; 1414; 2288
176; 4250; 1738; 1518
177; 3694; 1840;  868
179; 4590; 2070; 1784
180; 3836; 2034; 1696
182; 2674; 2226; 2028
183; 2934; 1968; 2108
185; 2816; 2036; 1504
187; 3474; 1990;  920
188; 3990; 1824;  662
190; 3806; 1702;  376
191; 3822; 1736;  370
193; 4258; 1750;  134
196; 3890; 1734;  386
198; 3732; 1778;  130
199; 4182; 1680;  -94
201; 4746; 1852; -296
202; 4692; 1946; -216
204; 4312; 1736; -534
205; 4284; 1648; -316
207; 4396; 1626; -260
208; 3764; 1634; -338
210; 3982; 1356; -328
212; 3872; 1106; -668
213; 4466; 1080; -650
214; 4186; 1124; -742
216; 3724; 1196; -988
218; 3626; 1154;-1256
219; 3716; 1106;-1248
221; 5704; 1186;-2036
223; 5122; 1240;-2654
224; 5154; 1210;-2562
227; 4790;  992;-1450
229; 4460;  986;-1124
230; 4516;  978;-1130
232; 4162;  886;-1228
234; 3948; 1086;-1458
235; 3764; 1098;-1572
237; 3930; 1048;-1594
238; 3542; 1070;-1750
240; 4462; 1052;-1274
241; 5002;  994; -640
243; 4690;  526; -802
245; 5476;  514; -694
248; 5446;  428; -350
251; 4810;  120;   70
256; 5438;  464; -456
257; 5472;  532; -486
260; 6204;  864; -146
263; 5670; 1608; -108
265; 3648; 1936;  -72
267; 3686; 2244;  714
268; 3142; 2360;  664
270; 2362; 2718;  860
271; 2374; 2948;  918
273; 1538; 3060;  580
274; 1750; 2916;  720
276;  756; 2926;  686
278; -228; 2828; 1058
279;  -46; 2860; 1418
281;   78; 2932; 1930
282;  146; 2916; 2022
285;  834; 2730; 3918
288; 1916; 2520; 3950
290; 1700; 2380; 3510
292; 2094; 2218; 3482
293; 2380; 2268; 3566
295; 1304; 2392; 2848
296; 5242; 1466; 3394
299; 3080; 1996; 2440
301; 2302; 2124; 2456
303; 1988; 2186; 2298
304; 2444; 2192; 2100
306; 2964; 2244; 1902
307; 3058; 2174; 1734
309; 2904; 2138; 1754
312; 3366; 2108; 1426
314; 3720; 2148; 1188
315; 3754; 2190; 1014
317; 3954; 2142; 1064
318; 3896; 2048;  982
320; 3558; 2062; 1004
321; 4014; 1914; 1058
323; 3726; 1994;  820
325; 3926; 1798;  542
326; 3502; 1818;  410
329; 3424; 1596;  378
331; 4342; 1608;  -38
332; 4012; 1780; -552
334; 5024; 1842; -792
336; 4894; 1788;-1252
337; 4654; 1798;-1208
339; 4698; 1842;-1008
342; 3902; 1772;-1542
345; 4070; 1768;-1008
347; 4914; 1718;-1362
348; 4322; 1714;-1898
350; 3382; 1744;-2120
351; 3034; 1608;-2230
353; 4322; 1502;-1418
354; 4044; 1420;-1884
356; 3924; 1528;-2710
358; 3988; 1478;-2862
359; 4000; 1482;-2830
361; 4130; 1402;-3282
362; 4038; 1522;-3254
364; 3630; 1450;-3298
365; 3764; 1474;-3296
367; 3286; 1286;-2962
369; 3182; 1338;-2972
370; 3234; 1284;-3038
372; 2958; 1252;-3348
373; 3560; 1376;-3502
374; 3554; 1252;-3472
376; 2860; 1294;-3544
378; 2782; 1310;-3918
380; 3156; 1294;-3860
381; 2982; 1224;-3760
383; 2884; 1288;-3672
384; 2596; 1312;-3592
386; 2836; 1322;-3348
387; 1894; 1118;-2874
389; -406; 1024;-1684
391; 2634;  368;-3432
392; 4322;  106;-4448
394; 7404; -124;-5892
395; 5816;  -10;-4942
397; 3880;  140;-3890
398; 4180;  304;-3536
402; 3528;  650;-3010
403; 3010;  678;-3090
405; 4134;  640;-3308
406; 4476;  830;-3118
408; 3916;  874;-2120
409; 3728; 1144;-2086
411; 3112; 1618;-2048
412; 3148; 1608;-2032
414; 3016; 1856;-1604
416; 3540; 1842;-1968
417; 3312; 1646;-1948
419; 3928; 1690;-1874
420; 3748; 1572;-2052
422; 4950; 1746;-2242
423; 5182; 1736;-2136
425; 5272; 1902;-2270
427; 4984; 1888;-2408
428; 4692; 2010;-2138
430; 4050; 2264;-1340
431; 3638; 2406; -824
433; 3098; 2962;  260
436; 2174; 3462; 1134
438; 2242; 3756; 1586
439; 2112; 3782; 1518
441; 1984; 3544; 2584
442; 2034; 3384; 2994
444; 2168; 3252; 2266
445; 2378; 3066; 2520
447; 1992; 2796; 3132
449; 2250; 2486; 3432
450; 2328; 2472; 3212
452; 2544; 2284; 1462
453; 2516; 2286; 1108
455; 2914; 1712; 2336
456; 2912; 1988; 2802
460; 3004; 2258; 1394
461; 2810; 2228; 1578
463; 2492; 2172; 1896
464; 3020; 1970; 1962
466; 4068; 1702; 1610
469; 3626; 1740; 1516
470; 3374; 1556; 1642
472; 3478; 1686; 1666
474; 3528; 1414; 1594
475; 3776; 1356; 1644
477; 3256; 1384;  992
478; 3866; 1286; 1262
480; 3458; 1148; 1046
481; 3534;  900; 1002
483; 3994;  666;  774
485; 3558;  484;  794
486; 4100;  352;  944
488; 3788;  132;  654
489; 4572;  118;  842
491; 4574;    4;  -10
494; 5502; -158;  690
496; 3764; -360;  -46
497; 3986; -202;  -90
499; 5254; -342;  304
500; 5686; -286;  510
502; 5148; -424;  334
505; 5896; -162; -644
507; 6476;  -42; -880
508; 5978;    0; -942
510; 5596;  548; -886
511; 5570;  782; -736
513; 4618; 1314; -214
514; 4552; 1664;  120
518; 3090; 2460; 1588
519; 2854; 2658; 1336
521; 1734; 2644; 1564
522;  926; 2862; 1654
524; 1176; 3362; 1448
525;  756; 3084; 1488
527;  292; 3090; 2516
529; 1290; 3102; 2204
530; 1042; 2924; 2348
532; 1430; 2750; 3182
533; 2102; 2738; 3390
536; 1532; 2472; 2968
538; 1702; 2374; 2814
540; 1974; 1986; 2916
541; 2098; 1930; 2910
544; 1922; 1632; 2408
546; 3442; 1604; 2600
547; 3246; 1552; 2366
549; 3498; 1846; 1940
551; 3636; 1616;  856
552; 3716; 1750; 1096
554; 3750; 1782; 1270
555; 3376; 1620; 1024
557; 3152; 1604;  860
558; 3658; 1650;  998
560; 4078; 1682; 1098
562; 4376; 1582;  854
563; 3760; 1578;  656
565; 4302; 1452;  694
568; 4430; 1394;  486
569; 4632; 1326;  262
571; 4298; 1380;   22
576; 4238; 1520; -750
579; 4850; 1610; -952
580; 4838; 1532; -866
582; 4208; 1626; -884
583; 4166; 1608; -946
585; 3986; 1274; -560
587; 4520; 1572; -948
588; 5742; 1770;-1346
590; 3626; 1488;-1120
591; 3794; 1536;-1334
593; 4736; 1438; -964
594; 4542; 1594;-1360
596; 4220; 1540;-1788
599; 4570; 1604;-2034
602; 4370; 1496;-2038
604; 4154; 1326;-1566
605; 3996; 1248;-1444
607; 4164; 1236;-1276
609; 4184; 1260;-1542
610; 3834; 1226;-1716
612; 4052;  924;-1804
613; 4326; 1136;-1874
615; 4108; 1148;-2102
616; 4124; 1166;-2416
618; 4154; 1098;-2332
620; 4586; 1204;-2096
621; 4174; 1146;-2358
623; 4008; 1028;-2276
624; 4346; 1058;-2296
626; 4464; 1184;-2310
629; 4396; 1194;-1950
632; 4492; 1214;-2008
634; 4302; 1198;-2244
635; 4492; 1114;-2114
637; 4652; 1348;-2080
638; 4604; 1498;-1974
640; 4510; 1594;-1642
642; 4204; 1896;-1858
643; 4594; 2152;-1448
646; 3786; 2506;-1090
648; 2936; 3316;  120
649; 3718; 3504;  332
651; 3658; 3386;  146
653; 2310; 3776;  492
654; 2436; 3570;  952
656; 1584; 3216; 2196
657; 1350; 3428; 2532
660; 1902; 3290; 1890
662; 1802; 3118; 3236
664; 1638; 3082; 2422
665; 1206; 2720; 2494
667; 1386; 2596; 3510
668; 1594; 2574; 3840
670; 1346; 2496; 3700
671; 1468; 2436; 3532
673; 2014; 2308; 3062
674; 1918; 2254; 2828
676; 1622; 2084; 2892
678; 1768; 1878; 2762
679; 2548; 1724; 2884
681; 2558; 1668; 2660
682; 2210; 1798; 2420
684; 2746; 1814; 1976
685; 2594; 1894; 1940
687; 3080; 1824; 2008
689; 3332; 1756; 2046
692; 3212; 1606; 1910
693; 3138; 1596; 2136
694; 3192; 1528; 2278
696; 3428; 1452; 2252
698; 3210; 1474; 2010
700; 3096; 1514; 1820
701; 3550; 1524; 2030
703; 3844; 1436; 1718
704; 3934; 1354; 1630
706; 3806; 1340; 1482
707; 4092; 1438; 1622
709; 4100; 1276; 1738
711; 3030; 1404;  882
712; 3126; 1358;  806
714; 4300; 1314; 1626
715; 4556; 1220; 1680
718; 3828; 1244; 1404
720; 3848; 1340; 1220
722; 4262; 1256; 1584
723; 3752; 1164; 1384
726; 3716; 1100; 1174
728; 3790; 1192;  700
729; 3458; 1134;  280
731; 3714;  890;  110
733; 5154;  476;  304
734; 5062;  310;  164
736; 6192; -222;  172
737; 5418; -170; -134
739; 5450; -234; -210
740; 5332;  -42; -482
742; 3932; -120; -646
744; 5200;  -24; -872
745; 4270;   98;-1322
747; 5510;  224;-1262
750; 4978;  262; -914
751; 4702;  520; -416
753; 4504;  902; -268
755; 3744; 1386;  -58
756; 3860; 1808;  422
758; 4138; 2274; 1282
759; 4018; 2344; 1482
761; 2824; 2694; 1760
762; 2150; 2782; 1898
764; 1334; 2704; 2514
765;  972; 2596; 3006
767;  420; 2530; 3172
769;  752; 2638; 2404
770;  474; 2464; 2634
772;  818; 2116; 3508
773;  296; 2268; 3182
776;  102; 2094; 3820
778; -266; 2178; 4080
780;  172; 2182; 3920
781; -252; 2270; 3464
783; -188; 2020; 3538
784; -244; 1804; 4000
786;  312; 1872; 3532
787;  680; 1918; 3134
789;  978; 1678; 3322
790; 1076; 1602; 3386
792; 1352; 1484; 3594
794; 1490; 1440; 3398
795; 1536; 1960; 2892
797; 1148; 1294; 3206
798; 2072; 1428; 3584
800; 1264; 1636; 2758
802; 1136; 1560; 3184
803; 1454; 1518; 3056
