0;806;3532;1034
1;1851;3241;1746
2;2564;3045;2329
3;3167;2985;2785
4;3668;2947;3093
5;3751;2937;3083
6;3201;2975;2563
7;2555;3143;1823
8;2107;3359;1129
9;1836;3531;817
10;1239;3771;639
12;443;3926;787
14;-544;4089;945
15;-756;4059;1231
17;-427;3993;1404
18;631;3716;1938
20;1445;3464;2515
21;2259;3207;3116
22;2364;3235;2745
26;2295;3302;2218
28;1373;3583;1270
29;653;3952;869
31;-603;4347;551
32;-1401;4459;597
34;-1550;4253;825
36;-418;3652;1787
39;1333;3225;2857
40;2707;2805;3881
42;2853;2822;3731
43;2514;2914;2837
45;1170;3395;1645
47;376;3730;866
48;-1021;4069;627
50;-1035;4062;621
53;-801;3980;706
54;645;3515;1654
56;1821;3237;2754
58;2770;2976;3833
59;2582;3096;3442
61;2182;3133;2589
62;983;3540;1408
64;87;3983;877
65;-1179;4254;672
67;-1435;4255;562
69;-1214;4017;515
70;-236;3607;1011
72;619;3232;2024
73;1791;2943;3113
75;2414;2985;3783
76;2369;3051;3465
78;1672;3299;2853
80;608;3389;1795
81;-299;3717;1115
83;-1306;3840;631
84;-1263;3868;914
88;-556;3549;1902
89;829;3163;3373
91;1830;2961;4277
92;2150;2860;4197
94;1919;2883;3224
95;1257;3206;2105
97;528;3591;1144
99;-412;3965;456
100;-1612;4145;-135
102;-2305;4175;-226
103;-1929;3968;704
105;-731;3589;2147
106;588;3235;3667
108;1565;2955;4352
110;1943;2836;4257
111;2008;2856;3249
113;1463;3189;2163
114;799;3687;1059
116;15;4122;681
117;-861;4223;365
118;-1458;4097;357
121;-1628;3845;517
122;-829;3540;1409
124;186;3253;2614
125;1423;3003;3929
127;1963;2975;4377
128;1997;3098;3737
130;1073;3456;2465
132;373;3733;1160
133;-602;3919;675
135;-1401;3926;339
136;-2078;3969;43
138;-1791;3824;-20
139;-632;3398;1126
141;451;3057;2737
143;1353;2877;4207
144;1471;3127;4104
146;1440;3321;3275
147;900;3600;2051
149;108;3872;1251
150;-1293;3943;562
152;-1736;3767;290
155;-615;3175;1025
157;1237;2839;2362
158;2661;2695;3711
160;2479;3035;3435
163;1797;3428;2664
165;775;3775;1625
166;96;3886;1115
168;-503;4051;689
169;-679;4073;588
171;-527;4015;719
172;97;3651;915
174;774;3238;1688
176;1376;2993;2643
177;2013;2893;3929
179;2159;3025;4251
180;2031;3296;3727
182;1561;3597;2772
183;974;3880;1745
185;97;4029;1126
187;-974;4121;519
188;-1088;3987;568
190;-457;3684;804
191;837;3238;1626
193;1469;2970;2483
194;2192;2819;3567
196;1905;3054;3493
198;1689;3343;2780
199;1047;3617;1844
201;509;3731;1362
202;-443;3947;1013
204;-1471;4059;728
205;-1691;4039;740
207;-1030;3724;987
209;83;3367;1673
210;1449;2983;3019
213;2182;2796;4198
214;2070;2914;3981
217;1407;3127;2976
218;433;3496;1639
220;-44;3717;1170
221;-1029;4029;634
223;-1549;4152;544
224;-1659;4191;696
226;-849;3983;1029
228;193;3646;1551
229;993;3241;2639
232;1533;2972;3593
234;1546;2877;4023
235;1376;2946;3223
237;240;3378;2100
239;-472;3705;1202
240;-1286;4159;713
242;-1365;4293;415
243;-953;4244;441
245;-204;3948;553
246;883;3467;1027
248;1204;3024;2226
250;1625;2657;3643
251;1265;2637;4431
253;919;2893;3922
254;177;3148;2987
256;-275;3358;2241
257;-497;3844;1528
259;-924;4215;835
261;-1115;4304;407
262;-829;3860;561
264;-153;3528;833
265;563;3222;1607
267;843;3057;2301
268;1077;3072;3047
272;1093;3264;3030
273;1089;3535;2560
275;663;3705;1914
276;162;3943;1306
278;-491;4141;878
279;-1175;4165;591
281;-1250;3965;640
283;-1153;3671;991
284;-239;3349;1898
286;533;3154;2937
287;1539;2951;3910
289;1783;2937;4067
290;1612;3037;3384
292;751;3446;2250
294;249;3752;1387
295;-622;3978;951
297;-1382;3998;609
298;-1911;3979;384
300;-1627;3786;705
301;-827;3465;1631
303;327;3207;2714
305;1353;2999;3453
306;1859;2987;3483
308;1623;3027;3115
309;1169;3165;2553
310;602;3464;2031
312;35;3784;1551
314;-625;4077;1189
316;-1229;4150;871
317;-1091;4074;990
320;-539;3851;1339
322;355;3599;1985
323;848;3279;2753
325;943;3206;3107
327;952;3176;3161
328;817;3322;2575
330;428;3509;1944
331;160;3845;1214
333;-255;4234;523
334;139;4340;-85
336;757;4131;-333
338;1580;3739;-167
339;2335;3417;792
341;2809;3347;1876
342;2673;3423;2627
344;2054;3575;2737
346;1101;3693;2543
347;561;3868;2155
349;41;4124;1635
350;-207;4300;995
352;-84;4275;758
353;706;3863;1000
357;1599;3421;1764
358;2538;3171;2878
360;2593;3259;3417
361;2353;3425;3225
363;1696;3595;2398
364;925;3911;1347
366;358;4267;366
368;394;4259;-325
371;971;3928;-442
372;1833;3477;221
374;2362;3297;929
375;2645;3337;2121
379;2630;3455;2743
380;2001;3611;2867
382;1537;3643;2213
383;681;4000;1261
385;371;4192;204
388;463;4213;-540
390;1051;3705;-595
391;2028;3286;376
393;2455;3137;1259
394;3227;3149;2721
396;3314;3290;3407
397;3259;3546;3365
399;2359;3827;2112
401;1527;4077;913
402;475;4211;121
404;-174;4180;-170
405;-480;4043;-253
406;82;3691;273
408;1351;3439;1267
410;2655;3223;2731
412;3115;3351;3393
413;2741;3649;2987
415;2019;3945;1881
416;1194;4142;1003
418;137;4126;617
419;-809;4061;517
421;-861;3880;588
423;-347;3641;1009
424;623;3366;1955
426;1371;3193;3009
427;1654;3284;3578
429;1475;3541;3053
430;1241;3744;2353
432;1037;3795;1439
434;511;3797;895
435;-622;3812;441
437;-1648;3830;231
438;-2053;3804;418
440;-1806;3706;980
441;-1012;3651;1974
443;-95;3467;2893
446;439;3368;3038
448;579;3335;2628
449;397;3456;1767
451;611;3497;1398
452;197;3587;1027
454;-550;3719;756
456;-1581;3885;460
457;-1889;3845;492
459;-1777;3738;823
460;-1264;3509;1616
462;-574;3285;2539
463;142;3065;3279
465;775;3283;2848
468;1052;3473;2161
470;1159;3640;1460
471;991;3510;1436
473;869;3481;1505
475;435;3485;1694
476;347;3535;2045
478;424;3599;2368
479;879;3616;2572
481;915;3538;2577
482;625;3449;2579
484;3;3481;2427
486;-455;3579;2297
487;-785;3623;2068
489;-836;3614;1859
490;-835;3620;1537
492;-827;3639;1401
493;-774;3526;1488
495;-66;3395;1929
497;639;3328;2263
498;921;3491;2483
500;491;3555;2468
501;425;3405;2577
504;499;3141;2570
506;711;2993;2563
509;260;3102;2360
511;36;3397;2113
512;-426;3751;1627
514;-608;4045;1165
515;-841;4219;718
517;-860;4201;561
519;-761;4101;556
520;-633;3937;747
522;-480;3821;969
523;-407;3596;1579
526;-169;3351;2343
528;-49;3237;2945
530;117;3326;2941
531;6;3487;2531
533;-113;3599;2067
534;-319;3762;1451
536;-591;3979;921
537;-883;4194;390
539;-1034;4250;101
541;-1021;4205;63
542;-955;4064;214
544;-755;3952;499
545;-635;3748;1085
547;-535;3579;1759
548;-558;3386;2577
550;-486;3314;2931
552;-369;3300;2902
553;-143;3339;2464
555;11;3426;1899
556;49;3674;1203
558;-358;4005;560
559;-871;4229;195
563;-1334;4201;384
564;-1475;4043;916
566;-1225;3873;1439
567;-904;3681;1763
569;-579;3568;2000
570;-469;3545;2101
572;233;3621;2081
575;1416;3566;1983
577;2683;3509;1827
578;3449;3239;1519
581;3609;3045;1371
583;3493;2829;1297
585;3231;2841;1361
586;3000;2889;1294
588;2863;2934;1321
589;2604;2979;1507
591;2381;3057;1484
592;2388;3135;1321
594;2737;3128;1133
596;3097;3106;991
597;3303;3112;815
598;3185;3299;521
600;2881;3433;253
602;2543;3521;161
603;2355;3376;289
605;2505;3151;459
607;2856;2939;579
608;3509;2669;602
611;4024;2432;523
613;4174;2263;347
