0;-3050;-892;1086
1;-2990;-869;997
2;-3020;-859;1009
3;-3050;-852;1058
4;-2989;-844;1003
5;-3025;-777;1017
6;-3273;-596;1164
7;-3627;-359;1447
8;-3713;-63;1699
9;-3559;313;2017
10;-3289;675;2155
11;-2761;881;2009
12;-2433;1006;1892
13;-2053;1145;1963
14;-1789;1258;2233
15;-1497;1497;2730
16;-917;1687;2817
17;-507;1925;3177
18;339;1850;2909
19;656;1549;2964
20;1420;1095;2773
21;1643;623;2739
22;2203;304;3032
23;2276;356;3196
24;2047;367;3333
25;1499;513;3387
26;493;723;2977
27;-593;941;2939
28;-1698;1135;2582
29;-2437;1208;2643
30;-2440;1457;2429
31;-2493;1530;2179
32;-2581;1481;2035
33;-2875;1416;1790
34;-2898;1435;1675
35;-2922;1409;1568
36;-2859;1383;1594
37;-2953;1374;1554
38;-2878;1400;1583
39;-3031;1447;1544
40;-3023;1452;1645
41;-2455;1426;2283
42;-1935;1173;2579
43;-1152;820;2951
44;125;372;2740
45;1710;-104;2771
46;3183;-391;2503
47;3718;-655;2336
48;3941;-714;2209
49;3492;-634;2229
50;2793;-415;2332
51;2552;-181;2740
52;3129;-140;3363
53;2320;88;3373
54;663;542;3019
55;-1053;1055;2904
56;-1263;1319;3289
57;-814;1368;3637
58;-711;1375;3509
59;-601;1343;3396
60;-624;1336;3389
61;-627;1327;3393
62;-671;1395;3337
63;-607;1403;3327
64;-587;1419;3311
65;-654;1424;3300
66;-681;1405;3319
67;-715;1410;3291
68;-463;934;2189
